date,case_count
2010-03-15,2413
2010-08-23,2512
2010-10-27,2504
2010-12-13,2336
2011-03-14,2451
2011-08-29,2514
2012-08-28,2854
2012-08-29,2733
2012-10-09,2590
2012-10-10,2453
2013-03-12,2843
2013-08-27,2918
2013-12-11,2585
2014-03-18,2859
2014-10-22,3113
2015-03-17,3010
2015-08-25,2895
2016-01-18,5188
2016-08-30,3045
2016-08-31,3027
2016-09-14,2804
2019-10-11,2974
